題號,題目,英文/中文,YouTube連結,開始時間,結束時間,影片重點
1,Measure Hip Flexion ROM,髖關節屈曲 ROM 測量,,,,
2,Measure Hip Abduction ROM,髖關節外展 ROM 測量,,,,
3,Measure Hip Adduction ROM,髖關節內收 ROM 測量,,,,
4,Measure Hip Internal Rotation ROM,髖關節內轉 ROM 測量,,,,
5,Measure Hip External Rotation ROM,髖關節外轉 ROM 測量,,,,
6,Measure Knee Flexion ROM,膝關節屈曲 ROM 測量,,,,
7,Measure Ankle Dorsiflexion ROM,踝關節背屈 ROM 測量,,,,
8,Measure Ankle Plantarflexion ROM,踝關節蹠屈 ROM 測量,,,,
9,Measure Tarsal Joints Forefoot Inversion ROM,前足前跗內翻 ROM 測量,,,,
10,Measure Tarsal Joints Forefoot Eversion ROM,前足前跗外翻 ROM 測量,,,,
11,Measure Subtalar Joint Rearfoot Inversion ROM,距下關節後足內翻 ROM 測量,,,,
12,Measure Subtalar Joint Rearfoot Eversion ROM,距下關節後足外翻 ROM 測量,,,,
13,Measure Transverse Tarsal Joint Forefoot Inversion ROM,橫跗關節前足內翻 ROM 測量,,,,
14,Measure Transverse Tarsal Joint Forefoot Eversion ROM,橫跗關節前足外翻 ROM 測量,,,,
